model,accuracy,macro_precision,macro_recall,macro_f1,weighted_precision,weighted_recall,weighted_f1
One-vs-Rest Linear SVM — PCA Full Training Data,0.8280833333333333,0.8369798628609401,0.8244699721234993,0.8235439071752559,0.8351018991826624,0.8280833333333333,0.8245082095956587
One-vs-Rest Linear SVM — HOG Full Training Data,0.9555833333333333,0.9559937881607098,0.955320536332241,0.9555442643720504,0.9557579473057766,0.9555833333333333,0.9555521902230859
One-vs-Rest Polynomial Kernel SVM — PCA,0.78275,0.8136013856105059,0.7802479550304187,0.778540830284353,0.8134610849188892,0.78275,0.7798378213603729
One-vs-Rest Polynomial Kernel SVM — HOG,0.9029166666666667,0.9025931785891922,0.9015327840950829,0.9017520815682196,0.9032514644370532,0.9029166666666667,0.9027697797890943
One-vs-Rest Linear SVM — PCA Full Training Data,0.8093333333333333,0.8213660884400484,0.8048177437341997,0.8026902270277996,0.8190485509448259,0.8093333333333333,0.8040118136280979
One-vs-Rest Linear SVM — HOG Full Training Data,0.9175833333333333,0.9203593551066543,0.9161840010743176,0.9171645337346093,0.9192932235036426,0.9175833333333333,0.9173305630079653
Final Tuned One-vs-Rest Linear SVM — HOG Test Set,0.9691,0.969038276695032,0.9687810514887604,0.9688729539668713,0.9691095637444263,0.9691,0.9690679752741311
